data	data	20	188	1	1	1	20	1	1	16	52	1	1	20	1	60	66	28	104	1	142	1	238	8	1	324	640	46	4	14	1	18	7892	1	896	8	338	4	768	1172	8568	3078	1654	1630	1	1	1	9790	34	642	134	606	1	14	1	1	1	1	1	1	32	1	1	1	1	1	18	1	1	16	1	1	1	18	24	1	1	8	1	4	1	1	1	5402	22	646	1	66	8	1020	1546	248	58	164	490	1	1	1	1398	1	390	68	194	
data	data	Left_Caudal_Anterior_Cingulate	Left_Caudal_Middle_Frontal	Left_Cuneus	Left_Entorhinal	Left_Fusiform	Left_Inferior_Parietal	Left_Inferior_temporal	Left_Isthmus_Cingulate	Left_Lateral_Occipital	Left_Lateral_Orbitofrontal	Left_Lingual	Left_Medial_Orbitofrontal	Left_Middle_Temporal	Left_Parahippocampal	Left_Paracentral	Left_Pars_Opercularis	Left_Pars_Orbitalis	Left_Pars_Triangularis	Left_Pericalcarine	Left_Postcentral	Left_Posterior_Cingulate	Left_Precentral	Left_Precuneus	Left_Rostral_Anterior_Cingulate	Left_Rostral_Middle_Frontal	Left_Superior_Frontal	Left_Superior_Parietal	Left_Superior_Temporal	Left_Supramarginal	Left_Transverse_Temporal	Left_Insula	Left_Brainstem	Left_Third_Ventricle	Left_Fourth_Ventricle	Left_Optic_Chiasm	Left_Lateral_Ventricle	Left_Inferior_Lateral_Ventricle	Left_Cerebellum_Gray_Matter	Left_Cerebellum_White_Matter	Left_Thalamus	Left_Caudate	Left_Putamen	Left_Pallidum	Left_Hippocampus	Left_Amygdala	Left_Accumbens_Area	Left_Ventral_Diencephalon	Left_Basal_Forebrain	Left_Vermal_lobules_I-V	Left_Vermal_lobules_VI-VII	Left_Vermal_lobules_VIII-X	Right_Caudal_Anterior_Cingulate	Right_Caudal_Middle_Frontal	Right_Cuneus	Right_Entorhinal	Right_Fusiform	Right_Inferior_Parietal	Right_Inferior_temporal	Right_Isthmus_Cingulate	Right_Lateral_Occipital	Right_Lateral_Orbitofrontal	Right_Lingual	Right_Medial_Orbitofrontal	Right_Middle_Temporal	Right_Parahippocampal	Right_Paracentral	Right_Pars_Opercularis	Right_Pars_Orbitalis	Right_Pars_Triangularis	Right_Pericalcarine	Right_Postcentral	Right_Posterior_Cingulate	Right_Precentral	Right_Precuneus	Right_Rostral_Anterior_Cingulate	Right_Rostral_Middle_Frontal	Right_Superior_Frontal	Right_Superior_Parietal	Right_Superior_Temporal	Right_Supramarginal	Right_Transverse_Temporal	Right_Insula	Right_Brainstem	Right_Third_Ventricle	Right_Fourth_Ventricle	Right_Optic_Chiasm	Right_Lateral_Ventricle	Right_Inferior_Lateral_Ventricle	Right_Cerebellum_Gray_Matter	Right_Cerebellum_White_Matter	Right_Thalamus	Right_Caudate	Right_Putamen	Right_Pallidum	Right_Hippocampus	Right_Amygdala	Right_Accumbens_Area	Right_Ventral_Diencephalon	Right_Basal_Forebrain	Right_Vermal_lobules_I-V	Right_Vermal_lobules_VI-VII	Right_Vermal_lobules_VIII-X	
20	Left_Caudal_Anterior_Cingulate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
188	Left_Caudal_Middle_Frontal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	14	0	0	0	0	0	2	2	25	2	0	2	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	
1	Left_Cuneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	Left_Entorhinal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	Left_Fusiform	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	Left_Inferior_Parietal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	Left_Inferior_temporal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	Left_Isthmus_Cingulate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
